"id","direction","ideaId","voterId","createdAt","updatedAt"
1059,1,76,"0x1e45c69c8bFdD393dF1577F08704698b469585Aa","2022-09-28 12:37:09.194","2022-09-28 12:37:09.195"
1060,1,77,"0x1e45c69c8bFdD393dF1577F08704698b469585Aa","2022-09-28 12:37:22.362","2022-09-28 12:37:22.363"
1061,1,81,"0x8d028DC71B347268d439432349B55Bc27989851E","2022-09-28 19:44:46.243","2022-09-28 19:44:46.244"
1062,1,81,"0xeB49310e1FebF4E5097705dDcfc6a2691704A8Bf","2022-09-28 19:45:32.476","2022-09-28 19:45:38.25"
1063,1,81,"0x1fe4ee4641E2A6ddf7771eB1c07412ba868bB537","2022-09-28 19:46:03.23","2022-09-28 19:46:03.231"
1064,1,79,"0x1fe4ee4641E2A6ddf7771eB1c07412ba868bB537","2022-09-28 19:47:32.113","2022-09-28 19:47:32.114"
1065,1,78,"0x1fe4ee4641E2A6ddf7771eB1c07412ba868bB537","2022-09-28 19:47:40.997","2022-09-28 19:47:40.998"
1066,-1,77,"0x1fe4ee4641E2A6ddf7771eB1c07412ba868bB537","2022-09-28 19:47:58.015","2022-09-28 19:47:58.015"
1067,1,68,"0x1fe4ee4641E2A6ddf7771eB1c07412ba868bB537","2022-09-28 19:48:27.121","2022-09-28 19:48:27.122"
1068,1,81,"0xB52235DC0751ce6E171C51fbF459fd6637c6ccc8","2022-09-28 19:54:53.537","2022-09-28 19:54:53.538"
1069,1,81,"0x8BecD7EbF3F910090f9264DFD0Bb221Ea04af8c3","2022-09-28 21:11:39.993","2022-09-28 21:11:39.994"
1070,-1,12,"0x4754b7e3DEde42D71d6c92978f25F306176EC7e9","2022-09-28 22:10:55.469","2022-09-28 22:10:55.47"
1071,-1,21,"0x4754b7e3DEde42D71d6c92978f25F306176EC7e9","2022-09-28 22:11:01.277","2022-09-28 22:11:01.277"
1072,1,70,"0x4754b7e3DEde42D71d6c92978f25F306176EC7e9","2022-09-28 22:11:18.515","2022-09-28 22:11:18.516"
1073,-1,78,"0x4754b7e3DEde42D71d6c92978f25F306176EC7e9","2022-09-28 22:11:55.522","2022-09-28 22:11:55.523"
1074,1,82,"0x4754b7e3DEde42D71d6c92978f25F306176EC7e9","2022-09-28 22:12:55.984","2022-09-28 22:12:55.985"
1075,-1,79,"0x4754b7e3DEde42D71d6c92978f25F306176EC7e9","2022-09-28 22:13:41.984","2022-09-28 22:13:41.984"
1076,-1,40,"0x4754b7e3DEde42D71d6c92978f25F306176EC7e9","2022-09-28 22:13:44.239","2022-09-28 22:13:44.239"
1077,-1,66,"0x4754b7e3DEde42D71d6c92978f25F306176EC7e9","2022-09-28 22:13:48.707","2022-09-28 22:13:48.707"
1079,1,81,"0x2fb6cB06CdBCE51E1aEB260646a9E7bCD50CAA23","2022-09-29 06:20:38.891","2022-09-29 06:20:47.105"
1080,1,76,"0x9e0e9D25a5ED9bc773f91691f0b45599255257B1","2022-09-29 09:04:03.091","2022-09-29 09:04:03.091"
