"id","body","ideaId","authorId","createdAt","updatedAt","parentId","deleted"
79,"nice.",31,"0x3B3e64FA62d3F22b25144c780135f4241457f568","2022-08-17 15:16:53.874","2022-08-17 15:16:53.875",,FALSE
80,"Thank you ser🙏🏻, you can read my proposal in full in Discord. ",31,"0x8F4C87E30371Ee250C5ECa1fCFf33F534F2ece4a","2022-08-17 16:22:23.428","2022-08-17 16:22:23.428",79,FALSE
81,"I just want to say I am confused by lack of attempt here. Was a main take away for engagement report done by atereh imo . a report which we financed. and now we are massively voting down the main takeaway? maybe i mis-understood the report findings and what was working for other daos.    Lack of ANY cost to implement on a trial basis coupled with potential large upside in engagement... is the most hated idea on the board...   technical issues aside...",13,"0x2eE0485f71764bcD2062A84d9455688c581B90f8","2022-08-18 09:35:31.488","2022-08-18 09:35:31.489",,FALSE
82,"I believe Lil Nouns DAO shouldn't spend very much on funding marketing/charity projects: given that Nouns DAO has much bigger budget it makes more sense to donate from there, especially taking into account that Lil Nouns is also in effect taking part in those by being a member of Nouns DAO. I support buying more Nouns, but also we got to do something interesting with them",27,"0xbC7f0883B4dd822C06E2dB8458D57aF624814D31","2022-08-18 14:40:52.672","2022-08-18 14:40:52.672",,FALSE
83,"Hi,  I liked the idea. I have some questions: What percentage of the Lil Sisters Fund do you need? And Proposal 109 and 110 already agreed on participating?",34,"0x4241B875D35D9990d29a8F8DCCAf88Bad8D46c24","2022-08-19 21:58:11.138","2022-08-19 21:58:11.139",,FALSE
84,"This is a new idea that could build on the goals and progression of those proposals. We could aim for a budgeted number of athletes and stipend amounts based on what’s available in the treasury and effective.",34,"0x8e777369b4Bd6fbbF20270dC8c599Ea11d919505","2022-08-19 22:53:54.041","2022-08-19 22:53:54.042",,FALSE
85,"It's coming home :)",31,"0x8B488CC76a38777c2f7B76eB6D49bDF430132Ac9","2022-08-20 07:04:16.954","2022-08-20 07:04:16.955",,FALSE
86,"I would suggest you come up with numbers so we can discuss the idea with more information. The project is interesting and it should be further developed. Lil Sisters doesn't have a great budget to invest but a percentage could be used. We can always ask for support from gnars as well. ",34,"0x4241B875D35D9990d29a8F8DCCAf88Bad8D46c24","2022-08-20 19:41:44.952","2022-08-20 19:41:44.953",,FALSE
87,"When I created this, I didn't know that prophouse users were able to vote for themselves. That by itself would serve as a base multiplier for large holders. I don't really have all the answers, but I believe that we can use our token to recognize the participation of the community during these rounds. Low numbers is just one idea, other multipliers could be applied to members that attend meetings, vote, and are active. ",22,"0x31B6470f3FAE7e488DA60b5fB9713A9a41286250","2022-08-20 21:55:37.425","2022-08-20 21:55:37.426",,FALSE
88,"Who proposed this? How are we acquiring this noun?",33,"0x8BecD7EbF3F910090f9264DFD0Bb221Ea04af8c3","2022-08-20 22:05:27.382","2022-08-20 22:05:27.382",,FALSE
89,"0.15 maybe? 0.1?",37,"0x8BecD7EbF3F910090f9264DFD0Bb221Ea04af8c3","2022-08-20 23:48:33.852","2022-08-20 23:48:33.853",,FALSE
90,"The current six nouns we hold enables 1,913 unique holders to participate in Nouns governance. This lottery idea goes against that by exposing only 1 holder. ",33,"0x8C868aB6EA5aA8BF37F58376f0A61c3728aEf904","2022-08-21 06:34:13.645","2022-08-21 06:34:13.645",,FALSE
91,"Now, the ""League of Lil's"" is casting votes. Not every unique 1913 voters. @al409signer, we have a bunch of Nouns already in a wallet, why not use one of those. I expect the process of acquiring more Nouns wouldn't stop anyways  We can make other kinds of lotteries for LilNouns - it seems that it usually draws interest that is worth more then the money spent, but giving a chance to a Lil Noun to grow to a Noun seems particularly nounish",33,"0xbC7f0883B4dd822C06E2dB8458D57aF624814D31","2022-08-21 16:03:56.446","2022-08-21 16:03:56.447",90,FALSE
92,"I think 0.15 seems reasonable.",37,"0x9e0e9D25a5ED9bc773f91691f0b45599255257B1","2022-08-21 19:51:20.26","2022-08-21 19:51:20.261",,FALSE
93,"details need to be hashed out, but I think it is a way to   1) utilize the votes that dao lil's hold in operational wallets. 2) award builders with extra ability to guide the DAO ... if you build it.. or something  MY THINKING 1) Lil Nouncil can only be reached by active participant through either on-chain proposal or multi prop house winner. 1a) to vote on or not, i think better to have parameters and then they auto engage into said group. 1ab) on chain auto engage. 3x prop house : auto engage  2) 1 vote per person. NOT a per token or delegate thing.   all i have for nw.",39,"0x2eE0485f71764bcD2062A84d9455688c581B90f8","2022-08-22 14:37:20.814","2022-08-22 14:37:20.815",,FALSE
94,"All sounds reasonable. However, I would prefer on-chain proposals. 🫡",39,"0x9e0e9D25a5ED9bc773f91691f0b45599255257B1","2022-08-22 14:45:48.635","2022-08-22 14:45:48.635",93,FALSE
95,"I think onboarding is one of the most critical steps in our proliferation, and it seems like **guild.xys** bought us complications and issues so far.",38,"0x9e0e9D25a5ED9bc773f91691f0b45599255257B1","2022-08-22 14:49:51.8","2022-08-22 14:49:51.8",,FALSE
96,"I doubt this would cause that many more people to get a Lil Noun just to get a chance to win a Noun",33,"0x17A059B6B0C8af433032d554B0392995155452E6","2022-08-22 16:15:00.626","2022-08-22 16:15:00.626",,FALSE
97,"Hi buymenoun, are you in the discord?",27,"0xaA1c29505160181e493f4B373f0c3206cc2a32a3","2022-08-22 20:57:52.178","2022-08-22 20:57:52.179",82,FALSE
98,"Hi buymenoun, are you in the discord?",27,"0xaA1c29505160181e493f4B373f0c3206cc2a32a3","2022-08-22 20:58:10.775","2022-08-22 20:58:10.776",82,FALSE
99,"I think between gnars and nouns we dont really have room. I am not against this idea, however. I dont think the community will go for it in the overlap with nouns is unwanted. ",42,"0x2eE0485f71764bcD2062A84d9455688c581B90f8","2022-08-23 12:12:06.002","2022-08-23 12:12:06.002",,FALSE
100,"running social media is not as easy as it seems fwiw. it is exhausting work. I know that doesn't make sense, but its true. haha",43,"0x2eE0485f71764bcD2062A84d9455688c581B90f8","2022-08-23 12:21:05.046","2022-08-23 12:21:05.046",,FALSE
101,"I think we should make a lil nouncil too ",39,"0x8BecD7EbF3F910090f9264DFD0Bb221Ea04af8c3","2022-08-24 07:03:39.482","2022-08-24 07:03:39.482",,FALSE
102,"Setting a reserve above current auction prices and at the floor on secondary does not seem appropriate. Anything higher than 0.1 feels like an attempt to artificially set a floor value on Lils. Setting a reserve is probably a good idea in the long run, but it should be done thoughtfully and without concern for what your bags are worth. Why are we even concerned about price? If setting a reserve has a purpose/goal, what is it? We need a clear intention for setting a reserve and valid reasoning for what value we select if we decide to go this route in my opinion.",37,"0x05e189E1BbaF77f1654F0983872fd938AE592eDD","2022-08-24 13:09:37.597","2022-08-24 13:09:37.597",,FALSE
103,"I put a prop house idea up on this . help is and will be needed. I agree in the need for this. not as a profit center, but simply a service. I am attempting to gamify the store. https://prop.house/proposal/1166",28,"0x2eE0485f71764bcD2062A84d9455688c581B90f8","2022-08-24 13:11:01.365","2022-08-24 13:11:01.366",,FALSE
104,"agreed - this was in the research report that was commissioned (daoresearch.wtf) ",21,"0x72dabD33fe53f28FaAc3C804A562A2e3EC96573D","2022-08-24 20:15:13.05","2022-08-24 20:15:13.051",,FALSE
105,"delegation will be on prophouse soon!",15,"0x8BecD7EbF3F910090f9264DFD0Bb221Ea04af8c3","2022-08-25 18:33:49.615","2022-08-25 18:33:49.615",,FALSE
106,"Agreed, I think we have specific communities focused on this exact thing. If we want to offer a grant to Gnars to provide them funding to be used specifically for LGBTQ athletes that could be an option. If anyone knows athletes that would be interested direct them over to gnars.com and join the discord, lots of great stuff in the works over there.",42,"0x05e189E1BbaF77f1654F0983872fd938AE592eDD","2022-08-26 13:09:42.526","2022-08-26 13:09:42.526",99,FALSE
107,"This would really be more fitting done through Gnars DAO.",34,"0x05e189E1BbaF77f1654F0983872fd938AE592eDD","2022-08-26 13:18:22.647","2022-08-26 13:18:22.648",,FALSE
108,"I think we should buy more nouns, to increase our share of Nouns DAO. Apart from that i think making the DAO work better should be another priority",27,"0xDb792E5160b281bB299dFf461502D5200b7Bcf33","2022-08-26 21:19:12.74","2022-08-26 21:19:12.741",,FALSE
109,"We are stronger as a community. Why give away so much power and money to a single individual when we can hold it collectively. Most likely this would go a to whale anyway, so does not seem very fair to me.",33,"0xDb792E5160b281bB299dFf461502D5200b7Bcf33","2022-08-26 21:21:53.229","2022-08-26 21:21:53.229",,FALSE
110,"The ability to have long pauses between auctions is a feature not a bug. You do not want to settle the auction unless you know another buyer is around and ready to bid within the next 15 minutes, otherwise there is a higher chance the Lil is burned or goes to a bot for cheap. ",46,"0x05e189E1BbaF77f1654F0983872fd938AE592eDD","2022-08-27 15:50:39.443","2022-08-27 15:50:39.444",,FALSE
111,"There already is a built-in pause. I see that being an issue in the early stages but after 5000 tokens sold, the project has mass adoption, not to mentions the bots that bid, tokens being burned or sold on the cheap are not an issue. What is an issue is the increasingly slow velocity of auction settlement. ",46,"0xD989842c7508B59D47861800B3EC2bE015Ba9DE1","2022-08-27 21:12:19.073","2022-08-27 21:12:19.074",110,FALSE
112,"what do we need that we cant get from the trickle down from Nouns? Mandate wise?   other than this thought I like the idea of it as another funding avenue. in place of what? treasury boogey man said not to spend.   Also, I feel like everything along this nature is simply Prop house formalizing it at the end. so a natural progression for top prop house ideas. ",47,"0x2eE0485f71764bcD2062A84d9455688c581B90f8","2022-08-28 09:31:09.434","2022-08-28 09:31:09.434",,FALSE
113,"I would love to contribute to the idea board. I think the idea of community-generated solutions to real web 3 solutions is vital!",7,"0x0C1CA53324a9B43E5468664562db592Ca6ef6efA","2022-08-28 12:42:53.057","2022-08-28 12:42:53.057",,FALSE
114,"Any more info? Thanks. ",49,"0x2eE0485f71764bcD2062A84d9455688c581B90f8","2022-08-28 13:18:08.862","2022-08-28 13:18:08.862",,FALSE
